spider,elapsed_time,error_time
cruzverde,60.01168870925903,
ahumada,990.096039056778,
salcobrand,1290.1228909492493,
profar,930.1013929843903,
ligafarmacia,4390.4260902404785,
farmex,1190.1217560768127,
